task,league,regime,model,auc,pr_auc,log_loss,brier,ece,precision_at_k,recall_at_k,split_id
selection,MBB,ablation,S4_efficiency,1.0,0.9999999999999999,0.043101359012706744,0.01051638610502214,0.031253609593330754,1.0,1.0,1.0
selection,MBB,ablation,S5_recency,1.0,0.9999999999999999,0.04311823657529793,0.010524894574648808,0.031267557738845285,1.0,1.0,1.0
selection,MBB,ablation,S6_conference,0.9993504468925379,0.9974654370463635,0.03932252211872768,0.009453478427859156,0.02064624984169134,0.9705882352941176,0.9705882352941176,1.0
selection,MBB,ablation,S1_winpct,0.7698503429640406,0.4737445326602988,0.4154333656560241,0.13060041796130026,0.030525364073010278,0.4852941176470588,0.4852941176470588,2.0
selection,MBB,ablation,S2_elo,1.0,1.0,0.04146425487168501,0.01016590344385429,0.03216785195544278,1.0,1.0,2.0
selection,MBB,ablation,S3_sos,1.0,0.9999999999999999,0.04103212583102865,0.009973551766283038,0.03067927888058515,1.0,1.0,2.0
selection,MBB,ablation,S4_efficiency,1.0,0.9999999999999999,0.04104350298601166,0.009977562480263739,0.030695191367790434,1.0,1.0,2.0
selection,MBB,ablation,S5_recency,1.0,0.9999999999999999,0.04110528782848705,0.010002811858302492,0.029563499936754202,1.0,1.0,2.0
selection,MBB,ablation,S6_conference,0.9995453128247765,0.998185591430006,0.03713619678880168,0.0089447172989637,0.019057233899476826,0.9705882352941176,0.9705882352941176,2.0
selection,MBB,ablation,S1_winpct,0.7669403450426108,0.48640758900485115,0.41422866544538267,0.13057790756697224,0.02821052595034985,0.4852941176470588,0.4852941176470588,3.0
selection,MBB,ablation,S2_elo,1.0,0.9999999999999999,0.03982638754647663,0.009747828064955196,0.030813703785810994,1.0,1.0,3.0
selection,MBB,ablation,S3_sos,0.9999740178757015,0.9998934356351235,0.039245501869189216,0.009483417977247843,0.029184421464275464,0.9926470588235294,0.9926470588235294,3.0
selection,MBB,ablation,S4_efficiency,0.9999740178757015,0.9998934356351235,0.0390389364506,0.009430691702645365,0.029013367746288772,0.9926470588235294,0.9926470588235294,3.0
selection,MBB,ablation,S5_recency,0.9999870089378508,0.999946328896522,0.039295298206888686,0.009491346910057555,0.0292450582839384,0.9926470588235294,0.9926470588235294,3.0
selection,MBB,ablation,S6_conference,0.9995583038869258,0.9982321854100638,0.03541121328653677,0.008464323166534175,0.017918847350802583,0.9705882352941176,0.9705882352941176,3.0
selection,MBB,ablation,S1_winpct,0.7426729494614748,0.436766969085823,0.4274855953649776,0.1359724121821624,0.026798017474796217,0.41911764705882354,0.41911764705882354,4.0
selection,MBB,ablation,S2_elo,1.0,0.9999999999999999,0.0384575391548005,0.009384238499847748,0.028567222981224,1.0,1.0,4.0
selection,MBB,ablation,S3_sos,0.9999223280861641,0.9996767545018842,0.03784905075981782,0.00911309924848665,0.029011510797821827,0.9852941176470589,0.9852941176470589,4.0
